iter	Passed	Remaining
891	32123	3889
892	32160	3853
893	32194	3817
894	32231	3781
895	32266	3745
896	32303	3709
897	32342	3673
898	32378	3637
899	32414	3601
900	32452	3565
901	32488	3529
902	32523	3493
903	32560	3457
904	32597	3421
905	32635	3386
906	32674	3350
907	32711	3314
908	32749	3278
909	32785	3242
910	32823	3206
911	32861	3170
912	32899	3135
913	32937	3099
914	32976	3063
915	33011	3027
916	33048	2991
917	33085	2955
918	33123	2919
919	33159	2883
920	33195	2847
921	33233	2811
922	33272	2775
923	33308	2739
924	33343	2703
925	33381	2667
926	33419	2631
927	33454	2595
928	33490	2559
929	33526	2523
930	33564	2487
931	33600	2451
932	33635	2415
933	33670	2379
934	33705	2343
935	33740	2307
936	33777	2271
937	33814	2235
938	33850	2199
939	33887	2163
940	33926	2127
941	33962	2091
942	33999	2055
943	34035	2019
944	34071	1983
945	34106	1946
946	34140	1910
947	34174	1874
948	34209	1838
949	34246	1802
950	34283	1766
951	34323	1730
952	34359	1694
953	34396	1658
954	34431	1622
955	34467	1586
956	34503	1550
957	34540	1514
958	34575	1478
959	34621	1442
960	34657	1406
961	34692	1370
962	34728	1334
963	34764	1298
964	34800	1262
965	34836	1226
966	34870	1189
967	34905	1153
968	34943	1117
969	34979	1081
970	35014	1045
971	35051	1009
972	35088	973
973	35124	937
974	35160	901
975	35194	865
976	35229	829
977	35267	793
978	35304	757
979	35339	721
980	35374	685
981	35410	649
982	35446	613
983	35484	576
984	35518	540
985	35556	504
986	35592	468
987	35626	432
988	35663	396
989	35706	360
990	35744	324
991	35780	288
992	35817	252
993	35852	216
994	35889	180
995	35927	144
996	35963	108
997	35999	72
998	36035	36
999	36069	0
